description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Emerald -> Safety Ring	1			100					4	ring,mag	jfg	r11,qty=1	gpg,qty=1				usetype,crf		50	50	red-dmg			5	10	dex			5	10	vit			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon	1			100					4	weap,mag,noe	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	knock			1	1	reduce-ac			10	20	dmg%			50	80																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon	1			100					4	weap,mag,eth	jfg	r03,qty=1	gpb,qty=1				usetype,crf		50	50	knock			1	1	reduce-ac			10	20	dmg%			50	80	ethereal	100		1	1																																																																0
UNEARTHLY	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Unearthly Helm	1			100					4	helm,mag,noe	jfg	r11,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	deadly			10	20	regen			5	10																																																																					0
1 Magic Helm + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Unearthly Helm	1			100					4	helm,mag,eth	jfg	r11,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	deadly			10	20	regen			5	10	ethereal	100		1	1																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Unearthly Helm	1			100					4	circ,mag,noe	jfg	r11,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	deadly			10	20	regen			5	10																																																																					0
1 Magic Circlet + 1 Jewel Fragment + 1 Lum Rune + Perfect Skull -> Unearthly Helm	1			100					4	circ,mag,eth	jfg	r11,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	deadly			10	20	regen			5	10	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Unearthly Boots	1			100					4	boot,mag,noe	jfg	r01,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			2	4	res-pois-len			10	20	pierce			10	15																																																																					0
1 Magic Boots + 1 Jewel Fragment + 1 El Rune + Perfect Skull -> Unearthly Boots	1			100					4	boot,mag,eth	jfg	r01,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			2	4	res-pois-len			10	20	pierce			10	15	ethereal	100		1	1																																																																0
1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Unearthly Gloves	1			100					4	glov,mag,noe	jfg	r10,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			2	4	deadly			5	10	regen			5	10																																																																					0
1 Magic Gloves + 1 Jewel Fragment + 1 Io Rune + Perfect Skull -> Unearthly Gloves	1			100					4	glov,mag,eth	jfg	r10,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			2	4	deadly			5	10	regen			5	10	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Unearthly Belt	1			100					4	belt,mag,noe	jfg	r02,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	dmg-to-mana			10	20	pierce			5	10																																																																					0
1 Magic Belt + 1 Jewel Fragment + 1 Eld Rune + Perfect Skull -> Unearthly Belt	1			100					4	belt,mag,eth	jfg	r02,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	dmg-to-mana			10	20	pierce			5	10	ethereal	100		1	1																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Skull -> Unearthly Shield	1			100					4	shld,mag,noe	jfg	r04,qty=1	skz,qty=1				usetype,crf		50	50	mana-kill			2	4	res-all			5	15	block			10	20																																																																					0
1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Skull -> Unearthly Shield	1			100					4	shld,mag,eth	jfg	r04,qty=1	skz,qty=1				usetype,crf		50	50	mana-kill			2	4	res-all			5	15	block			10	20	ethereal	100		1	1																																																																0
1 Magic Torso + 1 Jewel Fragment + 1 Tir Rune + Perfect Skull -> Unearthly Torso	1			100					4	tors,mag,noe	jfg	r03,qty=1	skz,qty=1				usetype,crf		50	50	dmg-undead			50	75	ease			-20	-30	ac%			25	50																																																																					0
1 Magic Torso + 1 Jewel Fragment + 1 Tir Rune + Perfect Skull -> Unearthly Torso	1			100					4	tors,mag,eth	jfg	r03,qty=1	skz,qty=1				usetype,crf		50	50	dmg-undead			50	75	ease			-20	-30	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel Fragment + 1 Dol Rune + Perfect Skull -> Unearthly Amulet	1			100					4	amul,mag	jfg	r07,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	curse-res			5	10	regen			5	10																																																																					0
1 Magic Ring + 1 Jewel Fragment + 1 Hel Rune + Perfect Skull  -> Unearthly Ring	1			100					4	ring,mag	jfg	r06,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			2	5	res-pois-len			10	20	regen			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Shael Rune + Perfect Skull -> Unearthly Weapon	1			100					4	weap,mag,noe	jfg	r05,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	regen			5	10	dmg-undead			75	125	dmg-demon			75	125																																																																0
1 Magic Weapon + 1 Jewel Fragment + 1 Shael Rune + Perfect Skull -> Unearthly Weapon	1			100					4	weap,mag,eth	jfg	r05,qty=1	skz,qty=1				usetype,crf		50	50	manasteal			3	6	regen			5	10	dmg-undead			75	125	dmg-demon			75	125	ethereal	100		1	1																																																											0
BOUNTIFUL	0																																																																																																							0
1 Magic Helm + 1 Jewel Fragment + 1 Tir Rune + Perfect Topaz -> Bountiful Helm	1			100					4	helm,mag,noe	jfg	r03,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50																																																																					0
1 Magic Helm + 1 Jewel Fragment + 1 Tir Rune + Perfect Topaz -> Bountiful Helm	1			100					4	helm,mag,eth	jfg	r03,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Circlet + 1 Jewel Fragment + 1 Tir Rune + Perfect Topaz -> Bountiful Helm	1			100					4	circ,mag,noe	jfg	r03,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50																																																																					0
1 Magic Circlet + 1 Jewel Fragment + 1 Tir Rune + Perfect Topaz -> Bountiful Helm	1			100					4	circ,mag,eth	jfg	r03,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Boots + 1 Jewel Fragment + 1 Io Rune + Perfect Topaz -> Bountiful Boots	1			100					4	boot,mag,noe	jfg	r08,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			15	25	gold%			30	60	ac%			25	50																																																																					0
1 Magic Boots + 1 Jewel Fragment + 1 Io Rune + Perfect Topaz -> Bountiful Boots	1			100					4	boot,mag,eth	jfg	r08,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			15	25	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Gloves + 1 Jewel Fragment + 1 Hel Rune + Perfect Topaz -> Bountiful Gloves	1			100					4	glov,mag,noe	jfg	r06,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			15	25	gold%			30	60	ac%			25	50																																																																					0
1 Magic Gloves + 1 Jewel Fragment + 1 Hel Rune + Perfect Topaz -> Bountiful Gloves	1			100					4	glov,mag,eth	jfg	r06,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			15	25	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Belt + 1 Jewel Fragment + 1 El Rune + Perfect Topaz -> Bountiful Belt	1			100					4	belt,mag,noe	jfg	r07,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50																																																																					0
1 Magic Belt + 1 Jewel Fragment + 1 El Rune + Perfect Topaz -> Bountiful Belt	1			100					4	belt,mag,eth	jfg	r07,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Shield + 1 Jewel Fragment + 1 Dol Rune + Perfect Topaz  -> Bountiful Shield	1			100					4	shld,mag,noe	jfg	r02,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	block			10	20																																																																					0
1 Magic Shield + 1 Jewel Fragment + 1 Dol Rune + Perfect Topaz -> Bountiful Shield	1			100					4	shld,mag,eth	jfg	r02,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	block			10	20	ethereal	100		1	1																																																																0
1 Magic Torso + 1 Jewel Fragment + 1 Eld Rune + Perfect Topaz -> Bountiful Torso	1			100					4	tors,mag,noe	jfg	r05,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50																																																																					0
1 Magic Torso + 1 Jewel Fragment + 1 Eld Rune + Perfect Topaz -> Bountiful Torso	1			100					4	tors,mag,eth	jfg	r05,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	ac%			25	50	ethereal	100		1	1																																																																0
1 Magic Amulet + 1 Jewel Fragment + 1 Ko Rune + Perfect Topaz -> Bountiful Amulet	1			100					4	amul,mag	jfg	r10,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	vit			10	20																																																																					0
1 Magic Ring + 1 Jewel Fragment + 1 Lum Rune + Perfect Topaz -> Bountiful Ring	1			100					4	ring,mag	jfg	r09,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			10	15	gold%			30	60	vit			5	10																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Shael Rune + Perfect Topaz -> Bountiful Weapon	1			100					4	weap,mag,noe	jfg	r01,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	dmg%			55	80																																																																					0
1 Magic Weapon + 1 Jewel Fragment + 1 Shael Rune + Perfect Topaz -> Bountiful Weapon	1			100					4	weap,mag,eth	jfg	r01,qty=1	gpy,qty=1				usetype,crf		50	50	mag%			20	30	gold%			30	60	dmg%			55	80	ethereal	100		1	1																																																																0
LARZUK'S GIMLET	0																																																																																																							0
Larzuk's Gimlet + 1H Weapon -> 1H Weapon with 2-4 Sockets	1			100					2	weap,nos	lzg,qty=1						useitem			50	sock	100		2	4																																																																															0
Larzuk's Gimlet + 2H weapon -> 2H Weapon with 3-6 Sockets	1			100					2	weap,nos	lzg,qty=1						useitem			50	sock	100		3	6												25		1	1																																																																0
Larzuk's Gimlet + Torso -> 2-4 Sockets	1			100					2	tors,nos	lzg,qty=1						useitem			50	sock	100		2	4																																																																															0
Larzuk's Gimlet + 2H Weapon > + 3-6 Sockets	1			100					2	2han,nos	lzg,qty=1						useitem			100	sock			3	6																																																																															0
Larzuk's Gimlet + Bow > + 3-6 Sockets	1			100					2	bow,nos	lzg,qty=1						useitem			100	sock			3	6																																																																															0
Larzuk's Gimlet + xBow > + 3-6 Sockets	1			100					2	xbow,nos	lzg,qty=1						useitem			100	sock			3	6																																																																															0
Larzuk's Gimlet + 1H Weapon > + 2-4 Sockets	1			100					2	weap,nos	lzg,qty=1						useitem			100	sock			2	4																																																																															0
Larzuk's Gimlet + Helm > + 2-3 Sockets	1			100					2	helm,nos	lzg,qty=1						useitem			100	sock			2	3																																																																															0
Larzuk's Gimlet + Torso > + 2-4 Sockets	1			100					2	tors,nos	lzg,qty=1						useitem			100	sock			2	4																																																																															0
Larzuk's Gimlet + Shield > + 2-4 Sockets	1			100					2	shld,nos	lzg,qty=1						useitem			100	sock			2	4																																																																															0
UNIQUE REROLL	0																																																																																																							0
JEWELRY	0																																																																																																							0
4 Orb of Eternity + Unique Ring -> Reroll Stats	1			100					5	erb	erb	erb	erb	ring,uni			usetype,uni		99	99																																																																																				0
4 Orb of Eternity + Unique Amulet -> Reroll Stats	1			100					5	erb	erb	erb	erb	amul,uni			usetype,uni		99	99																																																																																				0
NORMAL UNIQUE	0																																																																																																							0
1 Orb of Eternity + Unique Armor -> Reroll Stats	1			100					2	erb	armo,bas,uni						usetype,uni		99	99																																																																																				0
1 Orb of Eternity + Unique Weapon -> Reroll Stats	1			100					2	erb	weap,bas,uni						usetype,uni		99	99																																																																																				0
EXCEPTIONAL UNIQUE	0																																																																																																							0
2 Orb of Eternity + Unique Armor -> Reroll Stats	1			100					3	erb	erb	armo,exc,uni					usetype,uni		99	99																																																																																				0
2 Orb of Eternity + Unique Weapon -> Reroll Stats	1			100					3	erb	erb	weap,exc,uni					usetype,uni		99	99																																																																																				0
ELITE UNIQUE	0																																																																																																							0
3 Orb of Eternity + Unique Armor -> Reroll Stats	1			100					4	erb	erb	erb	armo,eli,uni				usetype,uni		99	99																																																																																				0
3 Orb of Eternity + Unique Weapon -> Reroll Stats	1			100					4	erb	erb	erb	weap,eli,uni				usetype,uni		99	99																																																																																				0
SET REROLL	0																																																																																																							0
JEWELRY	0																																																																																																							0
4 Orb of Eternity + Set Ring -> Reroll Stats	1			100					5	erb	erb	erb	erb	ring,set			usetype,set		99	99																																																																																				0
4 Orb of Eternity + Set Amulet -> Reroll Stats	1			100					5	erb	erb	erb	erb	amul,set			usetype,set		99	99																																																																																				0
NORMAL SET	0																																																																																																							0
1 Orb of Eternity + Set Armor -> Reroll Stats	1			100					2	erb	armo,bas,set						usetype,set		99	99																																																																																				0
1 Orb of Eternity + Set Weapon -> Reroll Stats	1			100					2	erb	weap,bas,set						usetype,set		99	99																																																																																				0
EXCEPTIONAL SET	0																																																																																																							0
2 Orb of Eternity + Set Armor -> Reroll Stats	1			100					3	erb	erb	armo,exc,set					usetype,set		99	99																																																																																				0
2 Orb of Eternity + Set Weapon -> Reroll Stats	1			100					3	erb	erb	weap,exc,set					usetype,set		99	99																																																																																				0
ELITE SET	0																																																																																																							0
3 Orb of Eternity + Set Armor -> Reroll Stats	1			100					4	erb	erb	erb	armo,eli,set				usetype,set		99	99																																																																																				0
3 Orb of Eternity + Set Weapon -> Reroll Stats	1			100					4	erb	erb	erb	weap,eli,set				usetype,set		99	99																																																																																				0
CHARM CORE	0																																																																																																							0
Magic Small Charm -> Charm Core	1			100					1	cm1,mag							cre																																																																																							0
Magic Medium Charm -> Charm Core	1			100					1	cm2,mag							cre																																																																																							0
Magic Large Charm -> Charm Core	1			100					1	cm3,mag							cre																																																																																							0
CLASS CHARMS	0																																																																																																							0
AMAZON	0																																																																																																							0
Amazon's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Amazon's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Amazon's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Amazon's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Amazon's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Amazon's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk0	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Amazon's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Amazon's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Amazon's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Amazon's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Amazon's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Amazon's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Amazon's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Amazon's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Amazon's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Amazon's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Amazon's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Amazon's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
ASSASSIN	0																																																																																																							0
Assassin's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Assassin's Fervor	Annihilus	cre					useitem,add		99	99	allskills			1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Assassin's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Assassin's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Assassin's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Assassin's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk6	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Assassin's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Assassin's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Assassin's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Assassin's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Assassin's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Assassin's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Assassin's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Assassin's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Assassin's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Assassin's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Assassin's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Assassin's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
BARBARIAN	0																																																																																																							0
Barbarian's Fervor+ Annihilus + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Barbarian's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Barbarian's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk4	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Barbarian's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Barbarian's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Barbarian's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Barbarian's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Barbarian's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Barbarian's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Barbarian's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
DRUID	0																																																																																																							0
Druid's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Druid's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Druid's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Druid's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Druid's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Druid's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk5	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Druid's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Druid's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Druid's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Druid's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Druid's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Druid's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Druid's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Druid's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Druid's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Druid's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Druid's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Druid's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
NECROMANCER	0																																																																																																							0
Necromancer's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Necromancer's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Necromancer's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk2	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Necromancer's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Necromancer's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
Necromancer's Fervor + Crack of the Heavens + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Crack of the Heavens	cre					useitem,add		99	99	pierce-immunity-light	100		300	300	res-ltng	100		-90	-90	levelreq	100		5	5																																																																					0
Necromancer's Fervor + Rotting Fissure + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Rotting Fissure	cre					useitem,add		99	99	pierce-immunity-poison	100		300	300	res-pois	100		-90	-90	levelreq	100		5	5																																																																					0
Necromancer's Fervor + Bone Break + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Bone Break	cre					useitem,add		99	99	pierce-immunity-damage	100		300	300	red-dmg%	100		-20	-20	levelreq	100		5	5																																																																					0
Necromancer's Fervor + Black Cleft + Charm Core -> Combined	1			100					3	Necromancer's Fervor	Black Cleft	cre					useitem,add		99	99	pierce-immunity-magic	100		300	300	res-mag	100		-65	-65	levelreq	100		5	5																																																																					0
PALADIN	0																																																																																																							0
Paladin's Fervor + Annihilus + Charm Core -> Combined	1			100					3	Paladin's Fervor	Annihilus	cre					useitem,add		99	99	allskills	100		1	1	all-stats	100		20	20	res-all	100		20	20	addxp	100		10	10	levelreq	100		5	5																																																											0
Paladin's Fervor + Gheed's Fortune + Charm Core -> Combined	1			100					3	Paladin's Fervor	Gheed's Fortune	cre					useitem,add		99	99	mag%	100		40	40	gold%	100		160	160	cheap	100		15	15	levelreq	100		5	5																																																																0
Paladin's Fervor + Hellfire Torch + Charm Core -> Combined	1			100					3	Paladin's Fervor	Hellfire Torch	cre					useitem,add		99	99	clsk3	100		3	3	all-stats	100		20	20	res-all	100		20	20	light	100		8	8	levelreq	100		5	5																																																											0
Paladin's Fervor + Cold Rupture + Charm Core -> Combined	1			100					3	Paladin's Fervor	Cold Rupture	cre					useitem,add		99	99	pierce-immunity-cold	100		300	300	res-cold	100		-90	-90	levelreq	100		5	5																																																																					0
Paladin's Fervor + Flame Rift + Charm Core -> Combined	1			100					3	Paladin's Fervor	Flame Rift	cre					useitem,add		99	99	pierce-immunity-fire	100		300	300	res-fire	100		-90	-90	levelreq	100		5	5																																																																					0
